Time,Open,High,Low,Close,Volume,date
1609459200000,736.42,739.0,729.33,734.07,27932.69884,2021-01-01 00:00:00
1609462800000,734.08,749.0,733.37,748.28,52336.18779,2021-01-01 01:00:00
1609466400000,748.27,749.0,742.27,744.06,33019.501,2021-01-01 02:00:00
1609470000000,744.06,747.23,743.1,744.82,17604.80859,2021-01-01 03:00:00
1609473600000,744.87,747.09,739.3,742.29,18794.15424,2021-01-01 04:00:00
1609477200000,742.34,743.23,739.5,740.65,14948.26447,2021-01-01 05:00:00
1609480800000,740.72,743.25,737.04,739.97,17106.99495,2021-01-01 06:00:00
1609484400000,739.87,740.51,734.4,737.38,21624.68945,2021-01-01 07:00:00
1609488000000,737.37,738.48,725.1,730.07,52992.04892,2021-01-01 08:00:00
1609491600000,730.07,734.77,728.77,733.68,22836.46973,2021-01-01 09:00:00
1609495200000,733.69,738.87,733.27,736.81,22895.59711,2021-01-01 10:00:00
1609498800000,736.82,741.76,736.11,738.85,29384.09871,2021-01-01 11:00:00
1609502400000,738.85,743.33,732.12,733.19,50190.47228,2021-01-01 12:00:00
1609506000000,733.19,741.99,733.0,740.08,23543.56362,2021-01-01 13:00:00
1609509600000,740.08,742.67,736.46,738.0,22098.37395,2021-01-01 14:00:00
1609513200000,738.01,740.0,733.5,735.39,25671.61199,2021-01-01 15:00:00
1609516800000,735.39,737.73,733.01,735.83,22249.34205,2021-01-01 16:00:00
1609520400000,735.76,736.45,726.57,727.94,40914.26505,2021-01-01 17:00:00
1609524000000,727.94,731.8,714.29,724.6,66427.75355,2021-01-01 18:00:00
1609527600000,724.57,728.28,720.95,725.34,26866.35862,2021-01-01 19:00:00
1609531200000,725.34,730.71,722.5,729.48,22422.29118,2021-01-01 20:00:00
1609534800000,729.48,730.61,726.69,728.23,14582.15316,2021-01-01 21:00:00
1609538400000,728.23,731.97,725.65,728.9,14614.20353,2021-01-01 22:00:00
1609542000000,728.97,730.58,727.65,728.91,14058.19051,2021-01-01 23:00:00
1609545600000,728.91,730.66,716.26,719.9,46190.17553,2021-01-02 00:00:00
1609549200000,719.9,731.75,714.91,729.38,37985.46001,2021-01-02 01:00:00
1609552800000,729.39,734.4,729.05,729.44,21870.2522,2021-01-02 02:00:00
1609556400000,729.45,731.96,728.4,730.39,13138.56186,2021-01-02 03:00:00
1609560000000,730.39,730.67,726.26,729.45,13117.64933,2021-01-02 04:00:00
1609563600000,729.45,733.4,729.22,731.99,19342.91315,2021-01-02 05:00:00
1609567200000,731.99,740.49,730.53,737.04,41590.31856,2021-01-02 06:00:00
1609570800000,737.08,738.66,733.07,735.12,23887.39609,2021-01-02 07:00:00
1609574400000,735.12,738.35,728.21,733.84,32631.45363,2021-01-02 08:00:00
1609578000000,733.84,734.64,723.06,725.41,38970.42653,2021-01-02 09:00:00
1609581600000,725.24,733.93,723.01,728.47,34642.76548,2021-01-02 10:00:00
1609585200000,728.55,731.1,727.17,729.7,14020.08545,2021-01-02 11:00:00
